Station ID,Name,Latitude,Longitude
BEAR,Bearwallow Mountain,35.46135,-82.35822
BURN,Burnsville Tower,35.91904,-82.26049
FRYI,Frying Pan Mountain,35.39357,-82.77427
JEFF,Mt. Jefferson Tower,36.40331,-81.46346
MITC,Mount Mitchell State Park,35.75853,-82.27135
NCAT,NC A&T SU Research Farm,36.06733,-79.73447
SALI,Piedmont Research Station,35.69755,-80.62191
SASS,Sassafras Mountain,35.065049,-82.776963
UNCA,UNC Asheville Weather Tower,35.62233,-82.56646
WINE,Wayah Bald Mountain,35.17313,-83.58101
