location_id,observation_datetime,observation_timezone,airtemp_degF,windspeed_avg_mph,winddgust_mph,rhavg_percent,precip_in
JEFF,2017-01-01 00:00:00,EST,34.34,11.6324,17.1869,77.1,0
JEFF,2017-01-01 01:00:00,EST,35.24,13.422,16.4419,83.4,0
JEFF,2017-01-01 02:00:00,EST,35.78,13.1983,18.8132,86.6,0
JEFF,2017-01-01 03:00:00,EST,36.5,11.8561,20.0883,92.2,0.02
JEFF,2017-01-01 04:00:00,EST,37.76,12.0798,14.8201,93.3,0
JEFF,2017-01-01 05:00:00,EST,38.66,10.7376,12.5406,94.5,0.01
JEFF,2017-01-01 06:00:00,EST,40.46,12.9746,21.0949,95.3,0
JEFF,2017-01-01 07:00:00,EST,40.28,13.6457,13.9857,95.6,0
JEFF,2017-01-01 08:00:00,EST,40.28,10.9613,10.3909,95.6,0
JEFF,2017-01-01 09:00:00,EST,40.64,6.0399,15.8715,95.7,0
JEFF,2017-01-01 10:00:00,EST,41.9,7.3821,7.62817,95.8,0
JEFF,2017-01-01 11:00:00,EST,43.34,6.0399,7.80489,95.5,0
JEFF,2017-01-01 12:00:00,EST,47.84,5.8162,10.3909,91.6,0
JEFF,2017-01-01 13:00:00,EST,48.2,5.8162,10.6101,83.8,0
JEFF,2017-01-01 14:00:00,EST,47.48,4.474,6.79601,80.1,0
JEFF,2017-01-01 15:00:00,EST,48.56,3.5792,6.18307,86.6,0
JEFF,2017-01-01 16:00:00,EST,48.02,4.2503,6.97049,87.7,0
JEFF,2017-01-01 17:00:00,EST,46.58,7.8295,9.6012,92.8,0.01
JEFF,2017-01-01 18:00:00,EST,46.76,9.1717,12.8896,95.5,0.03
JEFF,2017-01-01 19:00:00,EST,45.86,9.3954,12.9343,95.7,0
JEFF,2017-01-01 20:00:00,EST,42.98,9.6191,14.2049,95.5,0
JEFF,2017-01-01 21:00:00,EST,41,13.1983,18.5,95.6,0
JEFF,2017-01-01 22:00:00,EST,39.38,10.2902,16.9676,95.5,0
JEFF,2017-01-01 23:00:00,EST,39.56,10.0665,11.355,95.6,0
JEFF,2017-01-02 00:00:00,EST,39.02,11.185,20.6028,95.5,0.01
JEFF,2017-01-02 01:00:00,EST,42.26,11.6324,13.46,96,0
JEFF,2017-01-02 02:00:00,EST,43.34,9.3954,16.4867,96,0
JEFF,2017-01-02 03:00:00,EST,45.14,10.0665,11.3998,96.2,0.02
JEFF,2017-01-02 04:00:00,EST,44.6,9.3954,12.8471,96,0.02
JEFF,2017-01-02 05:00:00,EST,45.68,9.3954,16.9251,96.1,0.06
JEFF,2017-01-02 06:00:00,EST,46.76,7.8295,9.69068,96.1,0.04
JEFF,2017-01-02 07:00:00,EST,47.66,6.9347,9.69068,96.2,0.04
JEFF,2017-01-02 08:00:00,EST,48.38,7.3821,10.2164,96.1,0.04
JEFF,2017-01-02 09:00:00,EST,49.1,7.8295,10.3484,96.2,0.02
JEFF,2017-01-02 10:00:00,EST,47.66,7.6058,8.50507,96,0
JEFF,2017-01-02 11:00:00,EST,48.2,7.1584,7.93688,95.9,0.01
JEFF,2017-01-02 12:00:00,EST,48.02,6.4873,7.49842,95.4,0
JEFF,2017-01-02 13:00:00,EST,53.06,7.6058,8.81378,95.7,0
JEFF,2017-01-02 14:00:00,EST,52.34,4.9214,8.6818,93.2,0
JEFF,2017-01-02 15:00:00,EST,53.06,3.8029,3.28839,90.7,0
JEFF,2017-01-02 16:00:00,EST,51.62,2.4607,5.21668,89.2,0
JEFF,2017-01-02 17:00:00,EST,49.64,5.3688,7.80489,92.2,0
JEFF,2017-01-02 18:00:00,EST,48.74,7.3821,12.1447,95,0
JEFF,2017-01-02 19:00:00,EST,47.12,9.6191,15.7843,95.1,0
JEFF,2017-01-02 20:00:00,EST,46.22,11.185,14.6881,95.4,0
JEFF,2017-01-02 21:00:00,EST,43.34,12.0798,18.1421,96,0
JEFF,2017-01-02 22:00:00,EST,46.04,14.3168,19.0369,96,0
JEFF,2017-01-02 23:00:00,EST,44.96,11.8561,16.8804,96.2,0
JEFF,2017-01-03 00:00:00,EST,43.7,13.422,17.5828,96,0
JEFF,2017-01-03 01:00:00,EST,40.28,12.5272,17.8445,95.6,0.04
JEFF,2017-01-03 02:00:00,EST,44.06,12.0798,17.7573,96.3,0.03
JEFF,2017-01-03 03:00:00,EST,39.92,11.6324,10.2164,95.9,0.12
JEFF,2017-01-03 04:00:00,EST,41,12.7509,15.7843,96.2,0.12
JEFF,2017-01-03 05:00:00,EST,40.64,11.6324,15.7843,96.1,0.01
JEFF,2017-01-03 06:00:00,EST,41.72,10.2902,15.3011,96.1,0.01
JEFF,2017-01-03 07:00:00,EST,42.08,10.5139,16.3547,96.1,0.01
JEFF,2017-01-03 08:00:00,EST,43.16,10.9613,12.5406,96.3,0.03
JEFF,2017-01-03 09:00:00,EST,43.7,9.8428,15.5203,96.2,0.01
JEFF,2017-01-03 10:00:00,EST,45.86,10.7376,8.63706,96.2,0
JEFF,2017-01-03 11:00:00,EST,45.68,9.8428,15.0819,95.7,0
JEFF,2017-01-03 12:00:00,EST,46.58,12.3035,14.8201,95.8,0
JEFF,2017-01-03 13:00:00,EST,46.94,12.7509,16.6612,95.9,0.01
JEFF,2017-01-03 14:00:00,EST,47.12,12.9746,22.0568,96.1,0.01
JEFF,2017-01-03 15:00:00,EST,47.3,16.5538,28.2309,96.1,0
JEFF,2017-01-03 16:00:00,EST,47.3,18.7908,23.3319,96,0
JEFF,2017-01-03 17:00:00,EST,47.3,15.4353,22.191,96.1,0
JEFF,2017-01-03 18:00:00,EST,46.94,15.4353,27.4032,96,0.01
JEFF,2017-01-03 19:00:00,EST,46.76,14.7642,14.6009,95.7,0
JEFF,2017-01-03 20:00:00,EST,46.94,16.3301,25.2557,94.8,0
JEFF,2017-01-03 21:00:00,EST,46.76,17.4486,29.1929,94.1,0.01
JEFF,2017-01-03 22:00:00,EST,46.4,19.0145,32.7944,92,0
JEFF,2017-01-03 23:00:00,EST,45.86,15.659,11.0933,91.9,0
JEFF,2017-01-04 00:00:00,EST,45.86,10.7376,20.3791,92.8,0
JEFF,2017-01-04 01:00:00,EST,45.86,10.0665,11.619,94.9,0.03
JEFF,2017-01-04 02:00:00,EST,44.96,12.5272,21.9226,95.6,0.03
JEFF,2017-01-04 03:00:00,EST,42.98,17.6723,32.0562,95.5,0.02
JEFF,2017-01-04 04:00:00,EST,41,18.7908,29.685,95.6,0.01
JEFF,2017-01-04 05:00:00,EST,39.56,18.5671,24.5623,92.9,0
JEFF,2017-01-04 06:00:00,EST,38.48,17.4486,21.5199,88.3,0
JEFF,2017-01-04 07:00:00,EST,37.76,15.4353,17.4061,88.7,0
JEFF,2017-01-04 08:00:00,EST,35.6,13.6457,12.8024,92.7,0.02
JEFF,2017-01-04 09:00:00,EST,32.36,14.7642,21.2291,93.7,0
JEFF,2017-01-04 10:00:00,EST,31.28,16.1064,22.795,92.8,0
JEFF,2017-01-04 11:00:00,EST,30.02,14.3168,23.0187,92.3,0
JEFF,2017-01-04 12:00:00,EST,30.38,15.659,25.7479,84,0
JEFF,2017-01-04 13:00:00,EST,31.64,13.1983,32.8392,73.6,0
JEFF,2017-01-04 14:00:00,EST,31.82,15.659,24.6517,67.2,0
JEFF,2017-01-04 15:00:00,EST,31.82,15.2116,16.7932,59.6,0
JEFF,2017-01-04 16:00:00,EST,30.74,14.3168,19.6409,52.5,0
JEFF,2017-01-04 17:00:00,EST,29.12,14.0931,15.4778,52.3,0
JEFF,2017-01-04 18:00:00,EST,26.6,13.6457,24.4728,48,0
JEFF,2017-01-04 19:00:00,EST,24.98,15.659,30.9153,46.2,0
JEFF,2017-01-04 20:00:00,EST,23.36,13.6457,19.8646,55.1,0
JEFF,2017-01-04 21:00:00,EST,21.92,12.9746,24.428,56.7,0
JEFF,2017-01-04 22:00:00,EST,20.48,12.9746,12.2767,58,0
JEFF,2017-01-04 23:00:00,EST,19.76,13.6457,12.1447,60,0
JEFF,2017-01-05 00:00:00,EST,19.04,10.0665,12.4959,64.9,0
JEFF,2017-01-05 01:00:00,EST,19.58,13.8694,25.5242,52.6,0
JEFF,2017-01-05 02:00:00,EST,17.96,12.9746,14.6881,49.3,0
JEFF,2017-01-05 03:00:00,EST,18.68,12.9746,12.4959,54,0
JEFF,2017-01-05 04:00:00,EST,21.92,12.0798,14.1177,43.6,0
JEFF,2017-01-05 05:00:00,EST,23.9,12.3035,15.9163,39.6,0
JEFF,2017-01-05 06:00:00,EST,25.52,12.5272,11.2678,39.2,0
JEFF,2017-01-05 07:00:00,EST,29.12,10.2902,16.4419,40,0
JEFF,2017-01-05 08:00:00,EST,25.16,12.3035,16.4419,38.3,0
JEFF,2017-01-05 09:00:00,EST,27.32,10.7376,9.29474,38.1,0
JEFF,2017-01-05 10:00:00,EST,30.2,6.9347,10.9613,39,0
JEFF,2017-01-05 11:00:00,EST,26.6,7.8295,15.2138,43.5,0
JEFF,2017-01-05 12:00:00,EST,27.14,9.1717,14.5562,47.1,0
JEFF,2017-01-05 13:00:00,EST,28.76,7.8295,6.22557,45.7,0
JEFF,2017-01-05 14:00:00,EST,29.48,4.474,7.93688,44.7,0
JEFF,2017-01-05 15:00:00,EST,28.04,6.4873,6.4448,49.2,0
JEFF,2017-01-05 16:00:00,EST,26.96,5.8162,10.3036,51.1,0
JEFF,2017-01-05 17:00:00,EST,25.88,8.948,14.7329,55.5,0
JEFF,2017-01-05 18:00:00,EST,24.62,8.0532,9.64594,59.5,0
JEFF,2017-01-05 19:00:00,EST,24.8,8.0532,12.8471,62.1,0
JEFF,2017-01-05 20:00:00,EST,24.98,7.6058,13.1983,64.5,0
JEFF,2017-01-05 21:00:00,EST,24.26,9.8428,8.59455,66.5,0
JEFF,2017-01-05 22:00:00,EST,25.52,6.711,8.81378,66.5,0
JEFF,2017-01-05 23:00:00,EST,24.08,6.9347,12.8471,67.2,0
JEFF,2017-01-06 00:00:00,EST,23.36,10.0665,13.0663,72.4,0
JEFF,2017-01-06 01:00:00,EST,22.1,9.3954,19.7751,76.2,0
JEFF,2017-01-06 02:00:00,EST,21.2,7.6058,11.4445,83.5,0
JEFF,2017-01-06 03:00:00,EST,21.2,4.9214,7.8474,86.6,0
JEFF,2017-01-06 04:00:00,EST,21.56,8.2769,15.1266,88.8,0
JEFF,2017-01-06 05:00:00,EST,21.2,6.711,10.0397,90.2,0
JEFF,2017-01-06 06:00:00,EST,19.76,5.3688,7.18972,90.8,0
JEFF,2017-01-06 07:00:00,EST,19.04,6.4873,7.2792,91.2,0
JEFF,2017-01-06 08:00:00,EST,18.68,5.3688,12.8471,89.7,0
JEFF,2017-01-06 09:00:00,EST,18.86,5.3688,6.97049,88.4,0
JEFF,2017-01-06 10:00:00,EST,18.68,7.1584,13.1536,88.1,0
JEFF,2017-01-06 11:00:00,EST,19.22,8.5006,8.6818,88,0
JEFF,2017-01-06 12:00:00,EST,19.58,5.5925,9.33948,87.8,0
JEFF,2017-01-06 13:00:00,EST,20.12,4.474,4.25254,87.4,0
JEFF,2017-01-06 14:00:00,EST,20.12,3.1318,3.77158,86.5,0
JEFF,2017-01-06 15:00:00,EST,20.48,1.7896,1.84105,85.3,0
JEFF,2017-01-06 16:00:00,EST,17.96,2.4607,5.65514,84.5,0
JEFF,2017-01-06 17:00:00,EST,16.16,3.5792,7.89214,85.5,0
JEFF,2017-01-06 18:00:00,EST,15.8,5.1451,4.73573,87.5,0
JEFF,2017-01-08 10:00:00,EST,-3.1,26.1729,26.9111,79,0
JEFF,2017-01-08 11:00:00,EST,-1.12,21.2515,27.9401,79.1,0
JEFF,2017-01-08 12:00:00,EST,0.860001,21.9226,26.7545,77.7,0
JEFF,2017-01-08 13:00:00,EST,2.66,22.5937,41.9214,70.4,0
JEFF,2017-01-08 14:00:00,EST,4.28,20.5804,22.4818,63.7,0
JEFF,2017-01-08 15:00:00,EST,5.36,14.5405,11.7062,62.8,0
JEFF,2017-01-08 16:00:00,EST,6.08,9.8428,16.0482,63.6,0
JEFF,2017-01-08 17:00:00,EST,5.54,9.6191,14.3817,64.7,0
JEFF,2017-01-08 18:00:00,EST,3.02,9.8428,16.6612,67.6,0
JEFF,2017-01-08 19:00:00,EST,3.02,13.422,20.2672,73.1,0
JEFF,2017-01-08 20:00:00,EST,4.1,17.4486,25.4794,69.1,0
JEFF,2017-01-08 21:00:00,EST,5.18,23.2648,26.0387,53.7,0
JEFF,2017-01-08 22:00:00,EST,6.62,26.3966,30.4232,55,0
JEFF,2017-01-08 23:00:00,EST,11.84,23.7122,19.1935,36,0
JEFF,2017-01-09 00:00:00,EST,15.08,13.422,9.82043,24,0
JEFF,2017-01-09 01:00:00,EST,18.14,8.2769,8.94353,19.6,0
JEFF,2017-01-09 02:00:00,EST,17.42,5.1451,2.8052,16.9,0
JEFF,2017-01-09 03:00:00,EST,14.18,9.6191,17.0124,18.2,0
JEFF,2017-01-09 04:00:00,EST,11.66,16.5538,18.2315,23.8,0
JEFF,2017-01-09 05:00:00,EST,14.18,13.422,14.9521,26.9,0
JEFF,2017-01-09 06:00:00,EST,14.18,12.0798,16.5739,25.6,0
JEFF,2017-01-09 07:00:00,EST,12.92,12.9746,16.3972,28,0
JEFF,2017-01-09 08:00:00,EST,12.92,12.3035,14.9074,30.9,0
JEFF,2017-01-09 09:00:00,EST,12.74,11.8561,14.9521,38.3,0
JEFF,2017-01-09 10:00:00,EST,14.36,9.8428,11.4445,41.5,0
JEFF,2017-01-09 11:00:00,EST,18.32,9.8428,11.3125,38.6,0
JEFF,2017-01-09 12:00:00,EST,20.66,8.948,9.25223,34.4,0
JEFF,2017-01-09 13:00:00,EST,22.28,8.7243,14.7329,37,0.08
JEFF,2017-01-09 14:00:00,EST,21.74,7.1584,9.64594,39.1,0.08
JEFF,2017-01-09 15:00:00,EST,20.66,5.5925,9.33948,43.1,0.04
JEFF,2017-01-09 16:00:00,EST,21.38,6.711,8.41783,47.4,0
JEFF,2017-01-09 17:00:00,EST,18.86,6.711,8.81378,46.2,0
JEFF,2017-01-09 18:00:00,EST,17.96,7.1584,15.0819,40,0
JEFF,2017-01-09 19:00:00,EST,19.58,9.6191,18.0302,45.9,0
JEFF,2017-01-09 20:00:00,EST,20.3,11.185,11.0933,40.2,0
JEFF,2017-01-09 21:00:00,EST,19.22,8.7243,11.006,41.6,0
JEFF,2017-01-09 22:00:00,EST,21.2,9.3954,10.0397,42.4,0
JEFF,2017-01-09 23:00:00,EST,18.68,11.185,19.4172,46.7,0
JEFF,2017-01-10 00:00:00,EST,16.88,15.659,18.5895,58.2,0
JEFF,2017-01-10 01:00:00,EST,15.62,16.7775,18.3658,60.4,0
JEFF,2017-01-10 02:00:00,EST,15.62,18.3434,19.5961,61.7,0
JEFF,2017-01-10 03:00:00,EST,16.88,14.9879,16.31,57.2,0
JEFF,2017-01-10 04:00:00,EST,19.04,10.2902,11.9702,55.2,0
JEFF,2017-01-10 05:00:00,EST,21.2,9.8428,9.38198,48.4,0
JEFF,2017-01-10 06:00:00,EST,23.18,8.7243,11.9254,49.9,0
JEFF,2017-01-10 07:00:00,EST,25.52,11.4087,15.1713,51.3,0
JEFF,2017-01-10 08:00:00,EST,28.94,11.185,9.73319,66.4,0
JEFF,2017-01-10 09:00:00,EST,28.04,10.5139,15.3011,73.5,0
JEFF,2017-01-10 10:00:00,EST,28.76,12.7509,14.7754,75,0
JEFF,2017-01-10 11:00:00,EST,30.2,14.0931,21.6542,74.8,0
JEFF,2017-01-10 12:00:00,EST,29.84,16.3301,29.5955,68.3,0
JEFF,2017-01-10 13:00:00,EST,33.98,15.4353,27.3138,55.6,0.03
JEFF,2017-01-10 14:00:00,EST,29.48,17.4486,22.0121,44.7,0.04
JEFF,2017-01-10 15:00:00,EST,28.58,18.7908,27.8506,50.4,0
JEFF,2017-01-10 16:00:00,EST,28.58,17.2249,22.4818,59.5,0
JEFF,2017-01-10 17:00:00,EST,25.88,16.3301,21.6094,54.9,0
JEFF,2017-01-10 18:00:00,EST,25.34,13.8694,16.4419,51.7,0
JEFF,2017-01-10 19:00:00,EST,25.7,14.3168,29.4613,57.5,0
JEFF,2017-01-10 20:00:00,EST,27.86,16.3301,28.8573,72.9,0
JEFF,2017-01-10 21:00:00,EST,29.66,18.5671,31.743,83.1,0
JEFF,2017-01-10 22:00:00,EST,31.46,17.896,27.0006,86.1,0
JEFF,2017-01-10 23:00:00,EST,32.18,17.0012,21.7436,88.8,0
